timestamp,small job,medium job
1764120849,0,8467644416
1764120852,0,10973741056
1764120856,0,10973741056
1764120859,0,10973741056
1764120868,0,10984226816
1764120872,0,10984226816
1764120875,0,10984226816
1764120891,0,10984226816
1764120894,0,10984226816
1764120898,0,10984226816
1764120934,6097862656,0
1764120940,14742323200,0
1764120945,14742323200,0
1764120950,12833914880,0
1764120957,13641318400,0
1764120963,16929652736,0
1764120968,16929652736,0
1764120977,16929652736,0
1764120982,16929652736,0
1764120988,16952721408,0
1764121020,0,11881807872
1764121023,0,12095717376
1764121027,0,12099911680
1764121042,0,12284461056
1764121045,0,12284461056
1764121049,0,12284461056
1764121063,0,12284461056
1764121066,0,12284461056
1764121070,0,12284461056
1764121112,0,12500467712
1764121115,0,12907315200
1764121119,0,12907315200
1764121134,0,12907315200
1764121138,0,12907315200
1764121142,0,12907315200
1764121156,0,12907315200
1764121160,0,12907315200
1764121164,0,12907315200
1764121199,16453599232,0
1764121205,13452574720,0
1764121213,15591669760,0
1764121218,15591669760,0
1764121223,15591669760,0
1764121232,15591669760,0
1764121237,13167362048,0
1764121242,13167362048,0
1764121252,12785680384,0
1764121281,16950624256,0
1764121289,16950624256,0
1764121295,13502906368,0
1764121300,13502906368,0
1764121356,0,12248809472
1764121359,0,12255100928
1764121363,0,12255100928
1764121377,0,12255100928
1764121380,0,12255100928
1764121384,0,12255100928
1764121399,0,12255100928
1764121402,0,12255100928
1764121406,0,12255100928
1764121444,0,12221546496
1764121447,0,12229935104
1764121450,0,12229935104
1764121464,0,12229935104
1764121467,0,12229935104
1764121471,0,12229935104
1764121486,0,12229935104
1764121489,0,12229935104
1764121493,0,12238323712
1764121533,0,12131368960
1764121537,0,12324306944
1764121540,0,12529827840
1764121555,0,12529827840
1764121559,0,12529827840
1764121562,0,12529827840
1764121577,0,12529827840
1764121581,0,12529827840
1764121584,0,12529827840
1764121621,0,13066698752
1764121624,0,13068795904
1764121628,0,13068795904
1764121640,0,13070893056
1764121643,0,13070893056
1764121647,0,13070893056
1764121661,0,13070893056
1764121665,0,13070893056
1764121668,0,13070893056
1764121710,0,12783583232
1764121714,0,12794068992
1764121717,0,12810846208
1764121732,0,12810846208
1764121735,0,12810846208
1764121738,0,12810846208
1764121752,0,12810846208
1764121756,0,12810846208
1764121759,0,12810846208
1764121803,0,12011831296
1764121807,0,12215255040